product_name,product_id,productNameId,product_url,category,review_id,rating,title,review_text,submission_time,author,is_staff,is_verified_buyer,badge,likes,incentivized_review_label,fit_feedback,height,weight,size_purchased,usual_size,total_comments,comments_json,lulu_response_author,lulu_response_text,lulu_response_time,photo_count,photo_ids,photo_urls,photo_thumbnails,photo_captions,complaint_theme,business_insight,matched_defect_code,matched_defect_desc,matched_defect_group_code,matched_defect_group,similarity_score,semantic_match_method,operation_related,confidence_score,scraped_at
Define Jacket Nulu,define_jacket_nulu,Define_Jacket_Nulu,https://shop.lululemon.com/p/jackets-and-hoodies-jackets/Define-Jacket-Nulu/_/prod11020158?color=75697,Jackets,232416059,1,Within 3 months all the zippers broke.,"For the ridiculous amount of money Lululemon charges for their products they use by far the cheapest closures I've every seen. Through normal use after 3 months, 2 of the 3 sweatshirts she spent her birthday and Christmas gift money on no longer zip closed. The zipper pulls from the pockets broke off first, then one pocket's zipper's teeth misaligned so it will no longer unzip, and finally the main front zipper's cheap plastic stop completely came off so there is no way to zip it up. Shameful.",2024-03-11T00:15:54.000+00:00,Frustrated,False,False,,14,,,,,,,0,[],Guest Education Centre (GEC),We’d love to know more about your gear. Please visit https://lululemongec.powerappsportals.com/en-US/pnp-homepage/.,2024-03-11T16:45:10.000+00:00,2,9930724 ; 9930725,https://photos-us.bazaarvoice.com/photo/2/cGhvdG86bHVsdWxlbW9u/082ced02-61c8-5ab8-96f4-0da8fa16dd01 ; https://photos-us.bazaarvoice.com/photo/2/cGhvdG86bHVsdWxlbW9u/a228efb5-57f0-5090-a875-09d3971c6bae,https://photos-us.bazaarvoice.com/photo/2/cGhvdG86bHVsdWxlbW9u/8bca879d-4ec0-5412-96cc-f8479533e436 ; https://photos-us.bazaarvoice.com/photo/2/cGhvdG86bHVsdWxlbW9u/ffaf1edd-24bf-58c1-822a-a760876eb2f0,Unknown.jpeg ; Unknown-1.jpeg,Fabric & Material Quality,Product material or durability concern affecting premium brand trust.,,,SD,Construction,0.2541,sentence_transformer,True,0.2541,2026-05-28T07:52:53.589785+00:00
Define Jacket Nulu,define_jacket_nulu,Define_Jacket_Nulu,https://shop.lululemon.com/p/jackets-and-hoodies-jackets/Define-Jacket-Nulu/_/prod11020158?color=75697,Jackets,232772584,1,The Jacket has a nasty armpit smell!,"This jacket arrived today and upon opening it , I noticed it was not coming with a clear plastic bag, meaning it came from one of lululemon stores. There’s a nasty armpit smell of the last person tried it on. THIS IS UNACCEPTABLE AND VIOLATED THE HYGIENIC CODE.",2024-03-28T21:40:39.000+00:00,jaylangyyen650,False,False,,14,,Runs small,,,12,10,0,[],Guest Education Centre (GEC),The Guest Education Center can support. Please contact them at https://shop.lululemon.com/contact.,2024-04-01T17:42:52.000+00:00,0,,,,,Customer Service,Support or resolution issue affecting trust and loyalty.,,,,Unclassified,0.189,unclassified,False,0.189,2026-05-28T07:52:53.588810+00:00
Define Jacket Nulu,define_jacket_nulu,Define_Jacket_Nulu,https://shop.lululemon.com/p/jackets-and-hoodies-jackets/Define-Jacket-Nulu/_/prod11020158?color=75697,Jackets,232929042,1,Order was cancelled,Never received the item. Order was cancelle,2024-04-05T19:06:23.000+00:00,Bren,False,False,,0,,Runs a bit small,,,,,0,[],,,,0,,,,,Other,Review content requires manual inspection for a clearer root cause.,,,,Unclassified,0.1649,unclassified,False,0.1649,2026-05-28T07:52:53.588810+00:00
Define Jacket Nulu,define_jacket_nulu,Define_Jacket_Nulu,https://shop.lululemon.com/p/jackets-and-hoodies-jackets/Define-Jacket-Nulu/_/prod11020158?color=75697,Jackets,233065846,1,See Through,"I wish the fabric would’ve been a bit thicker, you can see right through it and all the lines of your shirt under it shows. Looks/feels cheap and thin.",2024-04-12T14:03:01.000+00:00,MollDoll,False,False,,11,,Runs a bit small,,,14,12,0,[],,,,0,,,,,Fabric & Material Quality,Product material or durability concern affecting premium brand trust.,,,,Unclassified,0.1978,unclassified,False,0.1978,2026-05-28T07:52:53.588810+00:00
Define Jacket Nulu,define_jacket_nulu,Define_Jacket_Nulu,https://shop.lululemon.com/p/jackets-and-hoodies-jackets/Define-Jacket-Nulu/_/prod11020158?color=75697,Jackets,233089286,1,Do Not Buy - Quality is GONE.,"These used to be my favorite, and I restocked multiples of them regularly, but now they have cut corners/costs and RUINED the quality. The lining in the collar has been shortened so its edge is clearly visible and uncomfortable. Completely ruined the jacket. AWFUL.",2024-04-13T18:39:07.000+00:00,allyfco,False,False,,31,,,,,,,0,[],,,,0,,,,,Fabric & Material Quality,Product material or durability concern affecting premium brand trust.,,,MD,Measurements,0.3818,sentence_transformer,True,0.3818,2026-05-28T07:52:53.588810+00:00
Define Jacket Nulu,define_jacket_nulu,Define_Jacket_Nulu,https://shop.lululemon.com/p/jackets-and-hoodies-jackets/Define-Jacket-Nulu/_/prod11020158?color=75697,Jackets,233131097,1,Used to be amazing,"I own 4 of these because I have LOVED them. I baby all my clothes by washing in cool and hang drying. I have been wanting this jacket in white though so I ordered another to add to my collection and w-o-a-h the quality has plummeted. It is MUCH thinner. Can actually see through it. I thought I could have been mistaken so I took out my others and compared... lululemon must be trying to cut costs, because the quality is 30% of the previous. Thin, see through... listen to the other reviews and skip",2024-04-15T17:13:55.000+00:00,KPKP,False,False,,38,,True to size,,,6,6,0,[],,,,0,,,,,Fabric & Material Quality,Product material or durability concern affecting premium brand trust.,,,FD,Material,0.26,sentence_transformer,True,0.26,2026-05-28T07:52:53.588810+00:00
Define Jacket Nulu,define_jacket_nulu,Define_Jacket_Nulu,https://shop.lululemon.com/p/jackets-and-hoodies-jackets/Define-Jacket-Nulu/_/prod11020158?color=75697,Jackets,233348585,1,Stains,My jacket came with stains Im so sad 🥲,2024-04-26T04:37:45.000+00:00,cgmb,False,False,,4,,True to size,,,8,8,0,[],Guest Education Centre (GEC),Thanks for taking the time to share your feedback. We'd be happy to take a closer look into how we can best support you. Feel free to reach out to our friends over at the Guest Education Centre (GEC) by phone at 877.263.9300 or by email at gec@lululemon.com at any time to continue the conversation.,2024-05-24T18:46:14.000+00:00,1,10309407,https://photos-us.bazaarvoice.com/photo/2/cGhvdG86bHVsdWxlbW9u/a8892a91-d2ba-5b62-8e51-07ed30e41480,https://photos-us.bazaarvoice.com/photo/2/cGhvdG86bHVsdWxlbW9u/de47ab41-2292-5bce-ae2d-69ba912917cf,,Sizing & Fit,Fit expectation mismatch that may increase return risk.,,,CD,Cleanliness,0.421,sentence_transformer,True,0.421,2026-05-28T07:52:53.588810+00:00
Define Jacket Nulu,define_jacket_nulu,Define_Jacket_Nulu,https://shop.lululemon.com/p/jackets-and-hoodies-jackets/Define-Jacket-Nulu/_/prod11020158?color=75697,Jackets,233361826,1,Employee's Insensitivity Towards Customers' size,"I recently had an incredibly distressing experience that left me feeling humiliated and ashamed. During a routine shopping trip, I encountered an experience of blatant insensitivity towards my body size. This not only made me feel unwelcome but also reduced me to tears within the confines of the store. The worst part? I do fit in the sizes that LuLu offers. I was ready to spend a couple hundred that day, and travelled two hours as I live remote. But thanks to the unwelcoming environment, I left.",2024-04-26T21:01:39.000+00:00,notless,False,False,,9,,Runs small,,,14,14,0,[],Guest Education Centre (GEC),"We appreciate you taking the time to share your store experience with us. We'll be connecting with you shortly to learn more, please keep a close watch on your inbox.",2024-05-25T21:54:25.000+00:00,0,,,,,Sizing & Fit,Fit expectation mismatch that may increase return risk.,,,MD,Measurements,0.2365,sentence_transformer,True,0.2365,2026-05-28T07:52:53.588810+00:00
Define Jacket Nulu,define_jacket_nulu,Define_Jacket_Nulu,https://shop.lululemon.com/p/jackets-and-hoodies-jackets/Define-Jacket-Nulu/_/prod11020158?color=75697,Jackets,233438606,1,Never received my jacket,"I placed the order on April 14th and today is 29th. I still have not received my package and you asked me to review it. Where is my define jacket, please?",2024-04-30T02:36:25.000+00:00,Unhappy customer,False,False,,4,,,,,4,,0,[],,,,0,,,,,Shipping & Delivery,Post-purchase delivery problem affecting customer experience.,,,,Unclassified,0.2152,unclassified,False,0.2152,2026-05-28T07:52:53.588810+00:00
Define Jacket Nulu,define_jacket_nulu,Define_Jacket_Nulu,https://shop.lululemon.com/p/jackets-and-hoodies-jackets/Define-Jacket-Nulu/_/prod11020158?color=75697,Jackets,233469831,1,Jacket,I didn’t like the material it make the bossy smells bad,2024-05-01T20:46:14.000+00:00,,False,False,,1,,,,,2,2,0,[],,,,0,,,,,Fabric & Material Quality,Product material or durability concern affecting premium brand trust.,,,,Unclassified,0.1759,unclassified,False,0.1759,2026-05-28T07:52:53.588810+00:00
Define Jacket Nulu,define_jacket_nulu,Define_Jacket_Nulu,https://shop.lululemon.com/p/jackets-and-hoodies-jackets/Define-Jacket-Nulu/_/prod11020158?color=75697,Jackets,233550611,1,Poorly made,Already frayed at the seems,2024-05-06T01:39:01.000+00:00,Michael,False,False,,5,,True to size,,,Xs,Xs,0,[],,,,0,,,,,Sizing & Fit,Fit expectation mismatch that may increase return risk.,,,SD,Construction,0.3936,sentence_transformer,True,0.3936,2026-05-28T07:52:53.588810+00:00
Define Jacket Nulu,define_jacket_nulu,Define_Jacket_Nulu,https://shop.lululemon.com/p/jackets-and-hoodies-jackets/Define-Jacket-Nulu/_/prod11020158?color=75697,Jackets,233556711,1,"Received someone else’s order, replacement lost",We were sent someone else’s order. They sent a call tag to pick up the wrong order but we still have not received our order. It was supposedly shipped a week ago but looks to be lost in transit,2024-05-06T14:19:40.000+00:00,Jess123,False,False,,1,,True to size,,,0,0,0,[],Guest Education Centre (GEC),"We're sorry to hear you've experienced some issues with receiving your Define Jacket *Nulu. If you have the tracking information for your delivery, you're always welcome to give the courier a call to see if they have any updates for you. If they can't provide an update or if the shipment is past our normal delivery timelines and you need more help, we'd be happy to support. You can click on ""Live Chat"" in the ""Contact Us"" section of our website footer to get in touch with our Guest Education Centre. Our Live Chat Educators are available to assist between 5am to 9pm Pacific Time on weekdays and 6am to 6pm Pacific Time on weekends.",2024-06-05T17:55:12.000+00:00,0,,,,,Sizing & Fit,Fit expectation mismatch that may increase return risk.,,,,Unclassified,0.2121,unclassified,False,0.2121,2026-05-28T07:52:53.588810+00:00
Define Jacket Nulu,define_jacket_nulu,Define_Jacket_Nulu,https://shop.lululemon.com/p/jackets-and-hoodies-jackets/Define-Jacket-Nulu/_/prod11020158?color=75697,Jackets,233599301,1,Not Inclusive,"Every time I come to check out this sweater, my size is never available and I don't think its because they sold out. Be more inclusive lululemon!",2024-05-08T20:37:48.000+00:00,Chimchiii,False,False,,4,,Runs a bit small,,,10,10,0,[],,,,0,,,,,Fabric & Material Quality,Product material or durability concern affecting premium brand trust.,,,MD,Measurements,0.2774,sentence_transformer,True,0.2774,2026-05-28T07:52:53.588810+00:00
Define Jacket Nulu,define_jacket_nulu,Define_Jacket_Nulu,https://shop.lululemon.com/p/jackets-and-hoodies-jackets/Define-Jacket-Nulu/_/prod11020158?color=75697,Jackets,233731195,1,Pretty color but defective fit,Too tight in the back/shoulder area,2024-05-16T16:06:23.000+00:00,Miki luvs2 shop,False,False,,2,,Runs small,,,6,6,0,[],,,,0,,,,,Sizing & Fit,Fit expectation mismatch that may increase return risk.,,,FD,Material,0.3229,sentence_transformer,True,0.3229,2026-05-28T07:52:53.588810+00:00
Define Jacket Nulu,define_jacket_nulu,Define_Jacket_Nulu,https://shop.lululemon.com/p/jackets-and-hoodies-jackets/Define-Jacket-Nulu/_/prod11020158?color=75697,Jackets,233938448,1,Not impressed,Thin not good material like old one,2024-05-29T12:41:59.000+00:00,Tara,False,False,,3,,Runs a bit small,,,6,6,0,[],,,,0,,,,,Fabric & Material Quality,Product material or durability concern affecting premium brand trust.,,,SD,Construction,0.295,sentence_transformer,True,0.295,2026-05-28T07:52:53.588810+00:00
Define Jacket Nulu,define_jacket_nulu,Define_Jacket_Nulu,https://shop.lululemon.com/p/jackets-and-hoodies-jackets/Define-Jacket-Nulu/_/prod11020158?color=75697,Jackets,234178814,1,The jacket was in status “awaiting carrier pick up,"Never received it! The jacket apparently stayed in the warehouse so when I called, I was told that the charges would be reversed. It took me calling to get Lululemon to reverse charges, and no reason as to why it couldn’t be retrieved from the warehouse. This has happened to me twice now.",2024-06-12T19:43:13.000+00:00,Cubanita,False,False,,5,,,,,,,0,[],,,,0,,,,,Other,Review content requires manual inspection for a clearer root cause.,,,,Unclassified,0.2152,unclassified,False,0.2152,2026-05-28T07:52:53.588810+00:00
Define Jacket Nulu,define_jacket_nulu,Define_Jacket_Nulu,https://shop.lululemon.com/p/jackets-and-hoodies-jackets/Define-Jacket-Nulu/_/prod11020158?color=75697,Jackets,234774075,1,No,The order so I didn’t get it,2024-07-08T15:11:35.000+00:00,Nope,False,False,,3,,True to size,,,0,7-8 Youth,0,[],,,,0,,,,,Sizing & Fit,Fit expectation mismatch that may increase return risk.,,,,Unclassified,0.1515,unclassified,False,0.1515,2026-05-28T07:52:53.588810+00:00
Define Jacket Nulu,define_jacket_nulu,Define_Jacket_Nulu,https://shop.lululemon.com/p/jackets-and-hoodies-jackets/Define-Jacket-Nulu/_/prod11020158?color=75697,Jackets,234848751,1,after washing does not look good,after washing the ends ravel does not look good,2024-07-11T20:13:43.000+00:00,tsavage62,False,False,,7,,,,,12,12,0,[],,,,0,,,,,Other,Review content requires manual inspection for a clearer root cause.,,,CD,Cleanliness,0.3126,sentence_transformer,True,0.3126,2026-05-28T07:52:53.588810+00:00
Define Jacket Nulu,define_jacket_nulu,Define_Jacket_Nulu,https://shop.lululemon.com/p/jackets-and-hoodies-jackets/Define-Jacket-Nulu/_/prod11020158?color=75697,Jackets,234950914,1,Nonsensical sizing,The sizing is incredibly small. I normally wear a size 8. I know Lulu sizing runs small so I ordered a 12. It was still at least 2 sizes too small so I returned it. I loved the look of it and would have enjoyed wearing it if it would’ve fit.,2024-07-16T19:36:29.000+00:00,Jay Jay,False,False,,5,,,,,12,8,0,[],,,,0,,,,,Sizing & Fit,Fit expectation mismatch that may increase return risk.,,,MD,Measurements,0.2903,sentence_transformer,True,0.2903,2026-05-28T07:52:53.588810+00:00
Define Jacket Nulu,define_jacket_nulu,Define_Jacket_Nulu,https://shop.lululemon.com/p/jackets-and-hoodies-jackets/Define-Jacket-Nulu/_/prod11020158?color=75697,Jackets,234967289,1,Delivered to wrong address,"It never arrived, have contacted LuLul mon at least three times and delivery company with no resolution.",2024-07-17T17:22:24.000+00:00,Nancy,False,False,,1,,,,,,,0,[],,,,0,,,,,Shipping & Delivery,Post-purchase delivery problem affecting customer experience.,,,,Unclassified,0.1683,unclassified,False,0.1683,2026-05-28T07:52:53.588810+00:00
Define Jacket Nulu,define_jacket_nulu,Define_Jacket_Nulu,https://shop.lululemon.com/p/jackets-and-hoodies-jackets/Define-Jacket-Nulu/_/prod11020158?color=75697,Jackets,235123518,1,Zipper broke off first time I wore it,Fabric and Design are Great. Just disappointed that the zipper slide or broke right off bottom on first wear. :(,2024-07-24T23:19:20.000+00:00,jgirl1278,False,False,,4,,True to size,,,14,14,0,[],Guest Education Centre (GEC),Thanks for taking the time to share your feedback. We'd be happy to take a closer look into how we can best support you. Feel free to reach out to our friends over at the Guest Education Centre (GEC) by phone at 877.263.9300 or by email at gec@lululemon.com at any time to continue the conversation.,2024-10-19T15:02:20.000+00:00,0,,,,,Sizing & Fit,Fit expectation mismatch that may increase return risk.,,,SD,Construction,0.3127,sentence_transformer,True,0.3127,2026-05-28T07:52:53.587832+00:00
Define Jacket Nulu,define_jacket_nulu,Define_Jacket_Nulu,https://shop.lululemon.com/p/jackets-and-hoodies-jackets/Define-Jacket-Nulu/_/prod11020158?color=75697,Jackets,235198164,1,Too small,Did not fit. Was smaller than expected,2024-07-28T15:16:00.000+00:00,Ladyjock,False,False,,3,,,,,XL,XL,0,[],,,,0,,,,,Sizing & Fit,Fit expectation mismatch that may increase return risk.,,,MD,Measurements,0.231,sentence_transformer,True,0.231,2026-05-28T07:52:53.587832+00:00
Define Jacket Nulu,define_jacket_nulu,Define_Jacket_Nulu,https://shop.lululemon.com/p/jackets-and-hoodies-jackets/Define-Jacket-Nulu/_/prod11020158?color=75697,Jackets,235704251,1,Still waiting on my order....,I still haven't gotten my order. pretty bummed.,2024-08-22T17:23:49.000+00:00,Crystal,False,False,,0,,,,,,,0,[],Guest Education Centre (GEC),Thanks for taking the time to share your feedback. We'd be happy to take a closer look into your order. Feel free to reach out to our friends over at the Guest Education Centre (GEC) by phone at 877.263.9300 or by email at gec@lululemon.com at any time to continue the conversation.,2024-10-31T18:26:38.000+00:00,0,,,,,Other,Review content requires manual inspection for a clearer root cause.,,,,Unclassified,0.1447,unclassified,False,0.1447,2026-05-28T07:52:53.587832+00:00
Define Jacket Nulu,define_jacket_nulu,Define_Jacket_Nulu,https://shop.lululemon.com/p/jackets-and-hoodies-jackets/Define-Jacket-Nulu/_/prod11020158?color=75697,Jackets,235987764,1,Not good service,Terribleeee they didn't send my jacket I never received it,2024-09-06T01:29:29.000+00:00,Leslie,False,False,Incentivized review,0,Received free product or lululemon affiliate,,,,,,0,[],Guest Education Centre (GEC),We'd be happy to take a closer look into your order. Feel free to reach out to our friends over at the Guest Education Centre (GEC) by phone at 877.263.9300 or by email at gec@lululemon.com at any time to continue the conversation.,2024-11-02T16:38:39.000+00:00,0,,,,,Customer Service,Support or resolution issue affecting trust and loyalty.,,,,Unclassified,0.1579,unclassified,False,0.1579,2026-05-28T07:52:53.587832+00:00
Define Jacket Nulu,define_jacket_nulu,Define_Jacket_Nulu,https://shop.lululemon.com/p/jackets-and-hoodies-jackets/Define-Jacket-Nulu/_/prod11020158?color=75697,Jackets,236024672,1,Don’t tell the truth,I never received it but was led on for weeks that it would be delivered. I’ll never shop there again. Awful customer service and I bought a lot.,2024-09-07T20:40:47.000+00:00,Stephanie,False,False,,0,,,,,Never came,4,0,[],Guest Education Centre (GEC),"We hear there was an issue with your order for the Define Jacket *Nulu. After taking a quick peek, we see that the Guest Education Centre (GEC) was able to provide you with a resolution. Please do not hesitate to follow up with them if there's anything further they can support with.",2024-11-02T21:56:10.000+00:00,0,,,,,Customer Service,Support or resolution issue affecting trust and loyalty.,,,,Unclassified,0.1128,unclassified,False,0.1128,2026-05-28T07:52:53.587832+00:00
Define Jacket Nulu,define_jacket_nulu,Define_Jacket_Nulu,https://shop.lululemon.com/p/jackets-and-hoodies-jackets/Define-Jacket-Nulu/_/prod11020158?color=75697,Jackets,236087798,1,Order not received,I placed an order weeks ago and I still have not received my order,2024-09-10T19:28:32.000+00:00,,False,False,,0,,Runs large,,,,,0,[],Guest Education Centre (GEC),"We've taken a look, and see that you've been in touch with our support team at the GEC. Please feel free to reach back out if there's anything else we can lend a hand with.",2024-11-03T14:05:47.000+00:00,0,,,,,Sizing & Fit,Fit expectation mismatch that may increase return risk.,,,,Unclassified,0.149,unclassified,False,0.149,2026-05-28T07:52:53.587832+00:00
Define Jacket Nulu,define_jacket_nulu,Define_Jacket_Nulu,https://shop.lululemon.com/p/jackets-and-hoodies-jackets/Define-Jacket-Nulu/_/prod11020158?color=75697,Jackets,236124443,1,Disappointed with the fabric and fit,Unfortunately this jacket didn’t work for me. I find the fabric too thin. I have had lots of jackets from lululemon in the past and they were thicker and held their shape. I have tried the Luon define jackets as well and found it has the same issue. Please bring back the jackets with the thicker fabric.,2024-09-12T14:43:56.000+00:00,Melinda,False,False,,3,,Runs a bit small,,,8,8,0,[],,,,0,,,,,Fabric & Material Quality,Product material or durability concern affecting premium brand trust.,,,MD,Measurements,0.2634,sentence_transformer,True,0.2634,2026-05-28T07:52:53.587832+00:00
Define Jacket Nulu,define_jacket_nulu,Define_Jacket_Nulu,https://shop.lululemon.com/p/jackets-and-hoodies-jackets/Define-Jacket-Nulu/_/prod11020158?color=75697,Jackets,236139224,1,Runs small but attractive jacket.,Runs very small. So I sent it back.,2024-09-13T03:44:15.000+00:00,JeanR,False,False,,2,,,,,10,8 or 10,0,[],,,,0,,,,,Sizing & Fit,Fit expectation mismatch that may increase return risk.,,,MD,Measurements,0.2756,sentence_transformer,True,0.2756,2026-05-28T07:52:53.587832+00:00
